lon,lat,quart.month,alfa.rain,beta.rain,probzero.rain,loc.harg,sc.harg,sh.harg,loc.pm,sc.pm,sh.pm
-47.31,-22.64,40,2.466825345,14.59998985,0.015151515,-30.14543641,21.49255374,0.080669483,-25.96824538,24.27567929,0.122974115
-47.31,-22.64,41,1.858992999,15.78845376,0.015151515,-19.67209876,17.3227879,-0.03876997,-16.84126003,18.40823123,-0.056422423
-47.31,-22.64,42,1.800092638,16.87447877,0.015151515,-18.44832818,20.87810231,0.133817693,-14.98790069,22.68005482,0.162025432
-47.31,-22.64,43,1.169709665,33.31375343,0.015151515,-17.29998291,27.83772625,-0.045625269,-14.99416118,30.21287108,-0.018940528
-47.31,-22.64,44,2.78994817,17.19487588,0.015151515,-13.91585545,30.84091238,0.243175466,-10.8738927,32.79613658,0.225656735
-47.31,-22.64,45,3.546482344,10.36449542,0.015151515,-10.91667071,18.84550398,0.111442672,-7.721112117,20.29084677,0.120108658
-47.31,-22.64,46,2.90184496,16.03214959,0.015151515,-3.426218214,24.66459663,0.062991658,1.413453673,26.44466971,0.119784413
-47.31,-22.64,47,2.436300798,19.04834577,0.015151515,-4.952322475,26.21147982,0.052285251,-1.850601228,27.88043804,0.088155957
-47.31,-22.64,48,4.154575555,15.91393011,0.015151515,1.622765913,35.73696254,0.322071155,5.826086523,38.25793258,0.348699111
lon,lat,quart.month,alfa.rain,beta.rain,probzero.rain,loc.harg,sc.harg,sh.harg,loc.pm,sc.pm,sh.pm
-46.81,-22.64,1,1.865062453,34.15954645,0.015151515,4.161327713,27.47380838,-0.267125889,7.758393875,29.36624223,-0.253971183
-46.81,-22.64,2,2.829043433,21.04300054,0.015151515,9.338829407,30.11116574,0.029200905,11.79299787,33.1832528,0.055153355
-46.81,-22.64,3,2.029883741,23.41913679,0.015151515,-3.730517626,26.9231406,-0.033652578,-2.137502506,29.45913258,-0.026351079
-46.81,-22.64,4,3.955861413,19.31816917,0.015151515,11.44467703,38.20959654,0.156042375,16.17785151,42.4925908,0.204632271
-46.81,-22.64,5,1.999294373,23.57581787,0.015151515,-3.01482649,27.32541253,-0.030758931,-2.296395764,29.09605245,-0.036055151
-46.81,-22.64,6,1.451674963,34.39819607,0.015151515,-2.668502847,31.63032435,-0.052271668,-1.746651168,33.8834368,-0.051924188
-46.81,-22.64,7,2.509542861,16.7278972,0.015151515,-2.912747986,24.16769384,0.069758537,-1.470669961,26.20407687,0.090967897
-46.81,-22.64,8,2.270858681,20.48220257,0.015151515,0.45343097,26.96745583,0.087520178,1.412517122,29.63434587,0.113557145
-46.81,-22.64,9,1.779919154,19.28897299,0.015151515,-9.793361002,18.71580638,-0.137583548,-9.838414409,20.79512945,-0.117962071
-46.81,-22.64,10,3.256042651,11.63874496,0.015151515,-2.102279909,18.81852166,0.041605251,-1.902458771,20.79725247,0.074459325
-46.81,-22.64,11,2.686067757,13.54721969,0.015151515,-3.434350313,16.02976871,-0.125256164,-2.609714101,17.23698242,-0.12139884
-46.81,-22.64,12,1.391351327,31.15451444,0.015151515,-15.23941552,22.81282764,-0.21915615,-16.00807492,23.88913048,-0.222745485
-46.81,-22.64,13,1.160685688,16.59956283,0.015151515,-16.43914624,12.12431557,-0.144155499,-17.13312418,13.87271597,-0.107480786
-46.81,-22.64,14,0.801079769,19.80490972,0.015151515,-17.69948586,12.73611167,-0.06004329,-19.10150584,14.54853982,-0.03058259
-46.81,-22.64,15,0.916366756,15.44994121,0.015151515,-16.76493461,10.96012783,-0.018655663,-18.4208075,13.43527483,0.058773502
-46.81,-22.64,16,0.434585944,36.20112481,0.015151515,-25.8428863,9.680964935,-0.39275474,-28.76594141,11.57464071,-0.344843078
-46.81,-22.64,17,0.441427662,29.11787956,0.015151515,-18.25272754,9.905655937,-0.267477517,-20.42831525,11.38874087,-0.236345772
-46.81,-22.64,18,0.486480048,18.1906227,0.015151515,-17.84062981,6.166594078,-0.29979211,-19.34040099,7.553726737,-0.243635279
-46.81,-22.64,19,0.535382132,25.66683064,0.015151515,-15.00462485,7.830143312,-0.402512046,-16.30300103,8.776481421,-0.385650059
-46.81,-22.64,20,0.693085133,34.29998907,0.015151515,-16.99661112,13.23087826,-0.342723248,-18.97457026,15.30439525,-0.308564209
-46.81,-22.64,21,0.36964833,37.75632503,0.015151515,-14.92906465,7.564114579,-0.464401222,-16.15881462,9.071757696,-0.417108262
-46.81,-22.64,22,0.378829318,17.01081001,0.03030303,-16.78770026,5.008192381,-0.294214743,-18.96826685,6.18969258,-0.244778916
-46.81,-22.64,23,0.238859663,35.7728358,0.015151515,-17.34103587,3.901982674,-0.592735701,-19.39350923,5.376293048,-0.513306802
-46.81,-22.64,24,0.35213379,19.90898121,0.015151515,-22.23902402,5.305011597,-0.346242851,-25.0459161,6.968418837,-0.284287582
-46.81,-22.64,25,0.223507162,14.68707596,0.045454545,-19.10943411,2.422486164,-0.435018857,-21.77798838,3.640683867,-0.333340565
-46.81,-22.64,26,0.415808678,24.28225944,0.03030303,-16.68748842,6.898600715,-0.330995171,-19.09377479,8.650650112,-0.266866406
-46.81,-22.64,27,0.252564342,27.84598642,0.03030303,-20.05641067,4.311298875,-0.489802186,-22.75017902,5.844358196,-0.408255737
-46.81,-22.64,28,0.270955198,38.04480436,0.015151515,-29.11641232,5.068226663,-0.541920126,-32.90537447,6.616935981,-0.485217502
-46.81,-22.64,29,0.14895581,43.96158392,0.045454545,-23.40642137,3.134349511,-0.601468564,-26.21483439,4.915067856,-0.502347487
-46.81,-22.64,30,0.193083023,17.61568814,0.03030303,-25.38028709,2.623454386,-0.408488012,-28.26925362,4.265452802,-0.294518476
-46.81,-22.64,31,0.212695467,36.13071219,0.03030303,-25.85432981,4.332507626,-0.526711644,-28.91557123,5.642954586,-0.49409982
-46.81,-22.64,32,0.444702269,21.9547639,0.045454545,-39.48399864,7.451017614,-0.27175479,-42.56611479,9.18523027,-0.246530854
-46.81,-22.64,33,0.460793158,29.69011101,0.03125,-27.76970916,10.45496802,-0.303762638,-29.57103992,13.03556015,-0.25148059
-46.81,-22.64,34,0.312787074,51.51534283,0.078125,-32.08795345,8.97465867,-0.477783103,-33.84793527,12.9406782,-0.369814274
-46.81,-22.64,35,1.067430769,16.3136263,0.03125,-25.26986464,15.25863486,0.04700104,-23.73658441,18.39966411,0.127940678
-46.81,-22.64,36,0.827944447,27.10638463,0.015625,-34.94195207,16.79468384,-0.175814156,-32.55350929,20.46788091,-0.121291289
-46.81,-22.64,37,1.110998515,24.04031115,0.015151515,-20.80251139,21.65331106,0.007859525,-17.7120946,25.30784945,0.092100738
-46.81,-22.64,38,0.730639265,31.57423382,0.015151515,-28.1796783,19.79153653,-0.108003822,-26.12287297,22.88716991,-0.059350446
-46.81,-22.64,39,1.588827326,18.09471333,0.015151515,-20.18310619,21.67823503,0.036594452,-16.10755595,23.71493856,0.074452455
-46.81,-22.64,40,2.57630552,14.58229128,0.015151515,-27.92989392,20.35586337,0.00822284,-23.24743919,23.20818278,0.052752362
-46.81,-22.64,41,2.20093153,14.12058352,0.015151515,-16.83716522,16.57039187,-0.0588734,-13.42181343,17.86560616,-0.064772789
-46.81,-22.64,42,1.799818662,17.45592523,0.015151515,-18.11658656,18.92920094,-0.014441804,-13.68701885,20.19962258,-0.002577694
-46.81,-22.64,43,1.436607326,28.44313275,0.015151515,-13.78920132,26.75887847,-0.043840442,-10.67350832,29.13187795,-0.009521766
-46.81,-22.64,44,3.472692177,14.50927621,0.015151515,-7.960529797,31.22921573,0.348985914,-4.055542132,33.08859379,0.326901686
-46.81,-22.64,45,3.949099853,10.44628878,0.015151515,-6.19918662,20.41693669,0.173011156,-2.535691294,21.4357264,0.15918517
-46.81,-22.64,46,3.212281383,15.29228581,0.015151515,0.805221406,25.72395162,0.119735952,6.474510037,27.10017446,0.174531442
-46.81,-22.64,47,3.090836689,15.98262622,0.015151515,0.41094447,25.67464449,0.094002243,4.086554653,27.57668843,0.14255499
-46.81,-22.64,48,4.410619995,15.42845735,0.015151515,4.34110657,34.8772295,0.284735476,9.875603025,37.33585211,0.327586738
lon,lat,quart.month,alfa.rain,beta.rain,probzero.rain,loc.harg,sc.harg,sh.harg,loc.pm,sc.pm,sh.pm
-47.3,-23.14,1,1.857440604,31.18033754,0.015151515,0.779911737,29.83251443,-0.134805076,4.308191677,32.31605998,-0.12392002
-47.3,-23.14,2,3.068464089,19.31911154,0.015151515,8.092110375,28.08279342,-0.013151647,11.357082,30.9010341,0.016882906
-47.3,-23.14,3,1.827998099,25.0466959,0.015151515,-8.338250365,22.04198266,-0.213798663,-6.041257578,24.0355108,-0.205469004
-47.3,-23.14,4,3.065887443,24.32686747,0.015151515,3.932377801,35.55219706,-0.027141927,8.233060482,39.07194472,0.01030036
-47.3,-23.14,5,1.914611185,23.83888064,0.015151515,-4.815051547,28.22397362,0.005996489,-3.696684343,30.76208942,0.016952248
-47.3,-23.14,6,1.516444468,31.40425746,0.015151515,-3.843285393,30.28629725,-0.027201072,-2.435757109,32.88210447,-0.025159454
-47.3,-23.14,7,2.217934223,17.27085709,0.015151515,-6.17921522,24.20274763,0.108384814,-5.207023207,26.62669678,0.112236478
-47.3,-23.14,8,2.376254745,17.3311069,0.015151515,-3.329898317,24.19236917,0.115374828,-2.242343114,27.00722575,0.14979904
-47.3,-23.14,9,1.657977561,20.11449117,0.015151515,-10.93857263,18.69427406,-0.129323475,-10.86216653,20.43813375,-0.119948242
-47.3,-23.14,10,2.584792775,13.9773052,0.015151515,-4.126996179,20.4901265,0.089888321,-3.678769264,22.33217583,0.129178283
-47.3,-23.14,11,2.740063864,11.63225625,0.015151515,-4.834002584,17.64159462,0.110643513,-3.706521282,19.20557367,0.147128221
-47.3,-23.14,12,1.034344389,35.21493941,0.015151515,-21.6098984,21.18103772,-0.246127089,-21.76115917,21.80109582,-0.256712975
-47.3,-23.14,13,1.008286941,18.44000129,0.015151515,-17.70364469,11.77867499,-0.193768498,-17.84052825,13.63547023,-0.14903033
-47.3,-23.14,14,0.799320685,19.8633512,0.015151515,-17.7044952,13.09756308,-0.037666544,-18.61014772,14.92091599,-0.001097868
-47.3,-23.14,15,1.012384495,15.19791059,0.03030303,-15.89767075,12.1917566,0.056235101,-17.1842804,14.74321591,0.111015876
-47.3,-23.14,16,0.57303559,25.57378242,0.015151515,-24.83174376,10.29766378,-0.263525866,-26.8159255,12.22986924,-0.222731109
-47.3,-23.14,17,0.425786873,30.3756391,0.03030303,-18.80005682,8.751783853,-0.341061423,-20.2021455,10.38666965,-0.295788336
