lon,lat,quart.month,alfa.rain,beta.rain,probzero.rain,loc.harg,sc.harg,sh.harg,loc.pm,sc.pm,sh.pm
-47.01,-22.87,1,2.13912624116015,28.3078489407706,0.0151515151515152,5.85479292653749,28.9401190903175,-0.141589670629923,8.77509735481419,30.5211720005587,-0.142820440024338
-47.01,-22.87,2,3.73548539038986,15.6373587085301,0.0151515151515152,10.6566602048478,26.2065660511224,0.0243325001481497,13.1156477927846,29.0748945676227,0.0518264018474099
-47.01,-22.87,3,1.92796333421882,24.9202418154218,0.0151515151515152,-4.46816509699884,22.8587799124181,-0.194027893878297,-3.38247805068852,25.1933940979228,-0.17924301714733
-47.01,-22.87,4,3.95847968545095,19.1684228616563,0.0151515151515152,10.6633611286294,34.9593535380935,0.0662090617670412,14.0233791051768,38.8629925660992,0.111938920589483
-47.01,-22.87,5,2.3073249674451,21.4154922679636,0.0151515151515152,1.42221710977135,29.4561740521128,0.0760951747393493,2.12838146386675,31.2099594784699,0.07155451058377
-47.01,-22.87,6,1.60248127563914,29.7078354198008,0.0151515151515152,-1.17940195115339,32.1911175779206,0.0587879680408169,-0.855215969332502,34.227501840088,0.0417602679676408
-47.01,-22.87,7,2.77645582773045,15.1667053656753,0.0151515151515152,-0.125376314231769,24.7438893441127,0.181135161633384,0.573312898483108,26.7250144500201,0.184521004567745
-47.01,-22.87,8,2.64343739159018,17.0828710162245,0.0151515151515152,1.49583648623553,25.4535264842992,0.129213765602055,2.05080914493682,28.1034021702813,0.157273475596411
-47.01,-22.87,9,2.03860550497452,17.5113575985591,0.0151515151515152,-6.37148672446451,19.9992240464084,-0.0430158892835419,-7.02653701713392,22.3950775262122,-0.0257737543543281
-47.01,-22.87,10,3.53274270760509,11.0317968857744,0.0151515151515152,0.897605766703725,19.8237368976001,0.139881281525878,0.438170192905046,21.1571373816331,0.150282031557527
-47.01,-22.87,11,3.00405131340752,11.6090102537037,0.0151515151515152,-2.23299369159451,16.6296125183326,-0.0120324020973716,-2.39041880110226,17.9507805461434,-0.010002992200758
-47.01,-22.87,12,1.25407983847923,32.2248223438521,0.0151515151515152,-16.474562253357,21.585520311741,-0.240822330248699,-18.1745215766768,22.4182016689167,-0.24965637096214
-47.01,-22.87,13,1.09307352165967,18.8184962789763,0.0151515151515152,-15.1417071150292,11.7510501291339,-0.224464116002622,-16.3913733158929,13.674063082437,-0.172932005347728
