Year,Month,quart.month,Rain,EP,P-EP,SPI,SPEI,Categ.SPI,Categ.SPEI
1991,1,2,73.32,30.304136033852,43.015863966148,0.602183266643912,0.534215126384589,Normal,Normal
1991,1,3,56.8,31.9043518738662,24.8956481261338,0.448544373230007,0.466321169479489,Normal,Normal
1991,1,4,123.93,43.1945143436575,80.7354856563425,1.32029006891273,1.21324958167007,mod.wet,mod.wet
1991,2,5,98.32,24.2779686221621,74.0420313778379,1.36104225764078,1.44373152671526,mod.wet,mod.wet
1991,2,6,75.38,26.4403869220385,48.9396130779615,0.860883683524089,0.860064083653425,Normal,Normal
1991,2,7,36.36,29.4557031601187,6.9042968398813,-0.121784114285758,-0.25013179221004,Normal,Normal
1991,2,8,12.96,31.1007728810075,-18.1407728810075,-1.45062859226095,-1.20704185610441,mod.dry,mod.dry
1991,3,9,99.74,18.798998361652,80.941001638348,1.94256283417163,1.92929942674143,sev.wet,sev.wet
1991,3,10,47.02,28.2558154497032,18.7641845502968,0.536858458663222,0.470467539374643,Normal,Normal
1991,3,11,61.16,24.2678528930381,36.8921471069619,1.22185517631232,1.24832211311247,mod.wet,mod.wet
1991,3,12,172.19,19.3176747875921,152.872325212408,2.35288176779072,2.17553445605596,ext.wet,ext.wet
1991,4,13,4.63,24.6519450424473,-20.0219450424473,-0.897841300831541,-0.711235990279997,Normal,Normal
1991,4,14,15.5,24.3530337782782,-8.85303377827822,0.312296779855703,0.198256016908909,Normal,Normal
1991,4,15,24.39,20.4578349450148,3.93216505498523,0.832204669739508,0.923971330311322,Normal,Normal
1991,4,16,95.27,27.0641767508322,68.2058232491678,2.14805124540689,2.06917279670264,ext.wet,ext.wet
1991,5,17,12.18,22.0662311217919,-9.88623112179188,0.38237335642979,0.250836424718143,Normal,Normal
1991,5,18,12.9,19.2404441306406,-6.34044413064056,0.751761306337186,0.763568241873253,Normal,Normal
1991,5,19,15.78,19.1028745695178,-3.3228745695178,0.517409297287974,0.595332896824686,Normal,Normal
1991,5,20,2.28,30.7358264377491,-28.4558264377491,-0.969264397241453,-1.17005113070621,Normal,mod.dry
1991,6,21,0.72,19.8160691036015,-19.0960691036015,-0.773476242581285,-0.877995212719804,Normal,Normal
1991,6,22,2.11,16.7084059002096,-14.5984059002096,0.0411165396874883,0.181512697503881,Normal,Normal
1991,6,23,9.83,16.5342015561256,-6.70420155612556,0.529607634476388,0.630829537634124,Normal,Normal
1991,6,24,38.71,18.195542417841,20.514457582159,1.52202196457363,1.67069800681886,sev.wet,sev.wet
1991,7,25,1.61,18.8112034704635,-17.2012034704635,0.276102188715208,0.19782991959041,Normal,Normal
1991,7,26,21.34,15.4263518461622,5.91364815383778,0.830491393156096,0.989641263926641,Normal,Normal
1991,7,27,0.7,18.7923598315151,-18.0923598315151,-0.29954492651223,-0.0401137269563613,Normal,Normal
1991,7,28,0.27,30.2019885484531,-29.9319885484531,-0.825366942153892,-0.451034141386233,Normal,Normal
1991,8,29,10.48,19.1759736507549,-8.69597365075486,0.960126836423743,1.03951752706494,Normal,mod.wet
1991,8,30,7.62,20.5931771786408,-12.9731771786408,0.963420438002719,1.14354944559889,Normal,mod.wet
1991,8,31,0.06,24.5009408953447,-24.4409408953447,-0.581214857408435,-0.0113044193835685,Normal,Normal
1991,8,32,0.13,38.8173696255193,-38.6873696255193,-1.02478272178737,-0.243037428680354,mod.dry,Normal
1991,9,33,2.26,25.9014979767562,-23.6414979767562,-0.537064380836113,-0.224868924016348,Normal,Normal
1991,9,34,0.01,30.4307835860977,-30.4207835860977,-1.24843826115657,-0.36866776215086,mod.dry,Normal
1991,9,35,17.65,26.8534850081869,-9.20348500818687,0.356414696627553,0.299480225393719,Normal,Normal
1991,9,36,84.67,31.5383266906295,53.1316733093705,1.86712832383861,1.85757630279404,sev.wet,sev.wet
1991,10,37,95.22,19.1048628708993,76.1151371291007,1.89552229533873,1.98668059814813,sev.wet,sev.wet
1991,10,38,14.65,26.3090738767775,-11.6590738767775,0.0716054929242571,0.2035372984308,Normal,Normal
1991,10,39,11.08,35.1078006339041,-24.0278006339041,-0.650999011966209,-0.724000964250612,Normal,Normal
1991,10,40,6.91,53.9198583012127,-47.0098583012127,-1.61180081588179,-1.41839715460888,sev.dry,mod.dry
1991,11,41,13.03,32.1453457982337,-19.1153457982337,-0.583855617865577,-0.555860689303968,Normal,Normal
1991,11,42,43.55,32.225289275155,11.324710724845,0.734369171070397,0.676072338992297,Normal,Normal
1991,11,43,3.55,43.0246865304436,-39.4746865304436,-1.66634453709286,-1.59776190685679,sev.dry,sev.dry
1991,11,44,26.72,53.6885944747869,-26.9685944747869,-0.86425554607323,-1.15161008677414,Normal,mod.dry
1991,12,45,35.97,37.7982832319558,-1.82828323195584,-0.0464332302827983,-0.383687899358364,Normal,Normal
1991,12,46,56.46,28.5775863766234,27.8824136233766,0.612821255278146,0.589128174626008,Normal,Normal
1991,12,47,76.84,27.2375788039521,49.6024211960479,1.18541630527174,1.30732264399169,mod.wet,mod.wet
1991,12,48,61.7,47.0458700982941,14.6541299017059,0.117568503297291,-0.0751179233646361,Normal,Normal
1992,1,1,22.43,33.8724259647407,-11.4424259647407,-0.944790141879457,-1.0983078947175,Normal,mod.dry
1992,1,2,34.64,36.3274112262594,-1.68741122625939,-0.720891390061189,-0.916142608148215,Normal,Normal
