YEAR,MM,DD,tmed,tmax,tmin,Ra,Rs,W,RH,Rain
1991,3,23,19.67,24.51,16.61,34.41,20.74,4.47,87,1.92
1991,3,24,21.17,26.24,18.08,34.22,15.05,3.98,87.44,2.79
1991,3,25,20.94,23.03,18.94,34.05,9.9,2.49,93.31,26.59
1991,3,26,19.36,22.01,17.39,33.88,4.6,3.39,91.5,17.18
1991,3,27,17.62,21.8,15.66,33.7,3.29,4.27,89.56,32.23
1991,3,28,18.07,22.28,15.65,33.54,4.75,2.78,91.56,42.52
1991,3,29,18.59,22.8,15.15,33.37,6.14,1.8,89.25,23.63
1991,3,30,20.56,25.11,17.04,33.19,6.85,1.52,90.31,9.38
1991,3,31,21.23,25.05,18.48,33,15.62,1.45,89.69,10.52
1991,4,1,21.45,26.73,18.22,32.81,20.06,1.95,88.19,0.5
1991,4,2,20.38,26.01,17.15,32.62,17.67,3.17,87.5,0.25
1991,4,3,20.01,25.26,16.83,32.43,19.08,3.06,86,0.1
1991,4,4,19.45,23.7,16.48,32.25,17.82,2.16,89.31,1.11
1991,4,5,17.76,23.06,14.61,32.07,18.32,3.59,87.31,0.67
1991,4,6,17.8,24.62,13.44,31.89,23.65,2.86,83.44,0.05
1991,4,7,19.57,25.17,14.64,31.72,18.24,1.49,88.06,1.95
1991,4,8,20.93,24.94,17.48,31.53,16.53,1.15,88.94,1.93
1991,4,9,20.95,26.14,17.86,31.34,20.17,2.48,87.19,0.45
1991,4,10,21.4,26.96,16.95,31.16,19.5,1.52,85.81,0.39
1991,4,11,21.98,27.33,17.37,30.97,21.25,1.57,85.38,0.21
1991,4,12,22.6,27.45,18.31,30.78,17.84,1.19,81.88,3.43
1991,4,13,22.16,26.45,18.02,30.59,7.63,1.05,81.5,6.01
1991,4,14,21.69,26.61,16.71,30.4,17.88,1.11,84.12,3.08
1991,4,15,22.98,28.18,18.48,30.21,17.82,0.96,84.06,7.91
1991,4,16,22.22,26.33,18.69,30.02,17.69,0.84,84.06,6.5
1991,4,17,21.63,26.99,17.51,29.83,17.85,1.67,85.75,1.27
1991,4,18,22.09,26.8,18.08,29.66,8,2.7,89.5,6.63
1991,4,19,20.08,25.32,15.93,29.48,8.38,2.2,86.94,1.54
1991,4,20,15.37,19.65,12.29,29.3,17.58,4.52,85.31,0.52
1991,4,21,16.08,22.64,11.51,29.13,18.65,3.16,84.44,0.02
1991,4,22,17.24,24.22,11.78,28.94,19.94,1.62,80.81,0.04
1991,4,23,16.92,23.3,10.96,28.76,20.76,1.44,79.62,0.1
1991,4,24,17.86,23.72,11.84,28.58,14.26,2.44,85,4.16
1991,4,25,19.74,23.85,17.31,28.41,10.85,2.73,89.81,76.42
1991,4,26,18.15,20.87,15.23,28.23,9.5,2.15,92.81,9.25
1991,4,27,16.69,21.58,11.9,28.05,16.31,1.35,77.81,4.24
1991,4,28,16.69,22.32,11.86,27.88,18.14,1.14,83.06,0.07
1991,4,29,16.8,22.59,12.88,27.71,18.97,2.09,88,0.33
1991,4,30,17.8,23.23,14.33,27.54,18.73,2.36,89.38,0.66
1991,5,1,18.06,24.2,13.75,27.37,19.48,1.61,82.19,0.12
1991,5,2,18.07,23.83,13.42,27.22,17.52,1.38,79.44,0.04
1991,5,3,17.81,23.69,11.71,27.06,17.32,1.19,78.19,0.07
1991,5,4,18.3,23.79,12.56,26.9,18.7,1.41,77.12,0.15
1991,5,5,18.79,24.55,12.5,26.73,16.79,1.4,78.81,0.31
1991,5,6,16.83,20.37,14.26,26.56,12.09,3.55,90.69,3.54
1991,5,7,16.98,21.47,14.06,26.4,14.08,2.1,90.12,7.95
1991,5,8,16.6,22.33,13.55,26.24,10.95,1.99,89,1.1
1991,5,9,15.87,21.89,12.01,26.09,18.67,2.25,85.38,0.12
1991,5,10,16.65,22.62,12.7,25.95,17.56,2.02,84.81,0.09
1991,5,11,16.82,22.59,13.21,25.81,16.32,2.09,85.44,0.04
1991,5,12,16.85,22.71,13.6,25.66,17.06,2.99,86.5,0.13
1991,5,13,18.05,23.78,12.98,25.52,15.27,1.6,83.5,0.55
1991,5,14,17.83,21.59,15.01,25.39,11.67,1.74,90.12,10.87
1991,5,15,18.07,21.28,15.68,25.25,6.62,3.11,91.75,9.28
1991,5,16,16.76,21.37,13.74,25.13,15.45,1.14,86.06,0.36
1991,5,17,16.3,21.67,12.3,25,16.66,2.38,87.56,0.05
1991,5,18,18.23,24.18,14.07,24.87,16.5,2.19,86.94,0.07
1991,5,19,18.51,24.01,13.74,24.75,16.12,1.55,86,0.52
1991,5,20,18.55,24.25,13.73,24.63,16.35,1.15,82.81,4.74
1991,5,21,17.98,23.69,12.44,24.51,15.23,1.17,83.12,0.76
1991,5,22,19.01,24.23,14.63,24.4,13.9,2.48,89.38,1.69
1991,5,23,18.18,22.68,14.08,24.29,15.72,2.73,88.56,0.29
1991,5,24,16.18,22.55,11.98,24.17,17,1.95,80.06,0.04
1991,5,25,17.51,23.85,11.45,24.06,17.08,1.41,85.69,0.05
1991,5,26,18.6,25.26,13.96,23.95,16.21,1.54,81.94,0.07
1991,5,27,18.21,24.67,13.1,23.86,16.78,1.57,81.56,0.01
1991,5,28,17.44,23.47,11.78,23.75,16.67,1.64,82.06,0.03
1991,5,29,17.16,23.4,11.22,23.66,16.78,1.42,81,0.03
1991,5,30,16.27,23.33,10.04,23.58,16.71,1.11,80.94,0.04
1991,5,31,16.21,22.47,9.93,23.49,16.38,1.06,75.5,0.03
1991,6,1,16.07,22.98,10.06,23.41,16.81,1.06,76.44,0.05
1991,6,2,15.3,22.16,8.9,23.34,16.73,1.34,76.56,0.1
1991,6,3,15.53,22.32,10.28,23.26,16.21,1.77,80.81,0.03
1991,6,4,17.03,23.8,11.35,23.19,15.84,1.6,79.62,0
1991,6,5,16.74,23.44,11.58,23.12,15.83,1.84,84.88,0.03
1991,6,6,17.94,24.01,13.07,23.04,13.4,1.95,87.44,0.05
1991,6,7,17.6,22.6,14.37,22.98,11.21,1.86,88.69,0.46
1991,6,8,15.53,18.93,13.37,22.91,11.24,2.88,91.06,0.92
1991,6,9,15.33,19.66,13.13,22.86,12.13,3.62,88.75,0.79
1991,6,10,14.62,19.21,12.08,22.81,14.3,2.55,87.12,0.12
1991,6,11,13.94,19.47,9.46,22.78,13.97,1.19,82.31,0.06
1991,6,12,14.67,21.26,8.69,22.74,15.34,1.16,84.06,0.01
1991,6,13,14.54,20.38,10.66,22.71,15.65,2.23,85.38,0.11
1991,6,14,15.72,22.56,10.9,22.69,14.45,1.53,84.12,0.1
1991,6,15,16.98,22.49,11.66,22.65,13.06,1.25,83.38,0.03
1991,6,16,18.32,22.79,14.44,22.63,14.23,1.11,79.19,0.38
1991,6,17,18.29,24.17,11.73,22.61,14.65,1.25,75.75,0
1991,6,18,18.35,25.12,12.12,22.58,14.75,1.46,82.19,0.03
1991,6,19,18.83,24.23,15,22.57,9.75,2.95,82.75,0.07
1991,6,20,18.69,22.27,15.76,22.56,13.72,1.9,89.31,5.19
1991,6,21,18.05,22.18,15.21,22.56,2.66,1.77,87.25,4.13
1991,6,22,18.15,23.74,14.4,22.56,7.68,2.59,87.81,3.8
1991,6,23,16.46,18.28,14.26,22.57,4.72,2.36,94.12,4.32
1991,6,24,16.23,18.97,14.33,22.58,7.34,1.76,93.56,21.19
1991,6,25,17.37,22.52,13.83,22.58,13.84,0.89,88.56,1.55
1991,6,26,18.14,25.03,13.29,22.58,15.4,1.2,84.62,0.09
1991,6,27,17.68,23.58,13.51,22.59,14.44,1.43,83.75,0.21
1991,6,28,17.14,23.12,12.12,22.61,15.29,2.22,81.75,1
1991,6,29,16.8,21.51,13.31,22.64,9.33,2,90.94,5.98
1991,6,30,13.03,16.51,11.15,22.67,11.86,3.51,88.75,0.57
1991,7,1,14.13,18.01,11.24,22.71,14.37,1.97,87.94,1.13
1991,7,2,16.9,22.27,13.13,22.75,15.61,1.75,85.19,0.37
1991,7,3,15.8,21.63,11.6,22.8,16.31,1.27,82.38,0
1991,7,4,13.55,19.57,8.84,22.84,14.81,2.06,81.81,0.06
1991,7,5,11.73,17.51,8.35,22.89,15.83,3.32,81.38,0.01
1991,7,6,13.09,18.94,9.22,22.93,16.04,1.66,88.38,0.03
1991,7,7,14.67,22.24,8.91,22.99,16.02,1.42,82,0.01
1991,7,8,15.86,22.62,10.25,23.05,15.51,1.62,79.62,0.08
1991,7,9,16.43,22.94,10.51,23.11,15.89,1.19,74.44,0
1991,7,10,15.92,23.32,9.92,23.17,16.04,1.98,80.94,0.59
1991,7,11,15.62,20.32,11.37,23.24,10.55,2.59,88.12,9.98
1991,7,12,12,15.84,10.22,23.31,12.28,3.22,90.44,3.32
1991,7,13,12.76,18.51,9.8,23.39,6.8,2.69,90.62,5.48
1991,7,14,12.55,16.58,10.43,23.47,11.14,3.4,90.25,1.89
1991,7,15,13.85,18.47,10.97,23.54,11.28,3.05,88.38,0.38
1991,7,16,16.25,22.45,11.48,23.64,8.99,1.51,84.31,0.22
1991,7,17,16.8,23.53,10.81,23.73,15.77,1.22,84.69,0.03
1991,7,18,17.55,23.91,12.51,23.82,16.33,1.97,81.56,0.04
