YEAR,MM,DD,tmed,tmax,tmin,Ra,Rain
1991,5,14,20.9,25.4,16.4,25.39,0
1991,5,15,18.1,20,16.2,25.25,14
1991,5,16,19.5,23,16,25.13,8.8
1991,5,17,19.3,24.6,14,25,0
1991,5,18,21.4,26.8,16,24.87,0
1991,5,19,21.4,27.2,15.6,24.75,0
1991,5,20,21.9,27.4,16.4,24.63,0
1991,5,21,19.6,25.8,13.4,24.51,55
1991,5,22,21.4,27.6,15.2,24.4,0
1991,5,23,19.8,23.6,16,24.29,0.2
1991,5,24,19.9,25.4,14.4,24.17,0
1991,5,25,19,25.8,12.2,24.06,0
1991,5,26,21.8,28.2,15.4,23.95,0
1991,5,27,21.2,27.2,15.2,23.86,0
1991,5,28,20.8,26.6,15,23.75,0
1991,5,29,20.7,25.8,15.6,23.66,0
1991,5,30,20,26,14,23.58,0
1991,5,31,19.6,25.6,13.6,23.49,0
1991,6,1,18.5,25.4,11.6,23.41,0
1991,6,2,19.3,26,12.6,23.34,0
1991,6,3,21,26.4,15.6,23.26,0
1991,6,4,20.8,27.6,14,23.19,0
1991,6,5,20.5,27,14,23.12,0
1991,6,6,20.2,27.2,13.2,23.04,0
1991,6,7,20.9,25.4,16.4,22.98,0
1991,6,8,19.4,22.6,16.2,22.91,0
1991,6,9,18.2,20.8,15.6,22.86,0
1991,6,10,18.1,22.4,13.8,22.81,0
1991,6,11,17.4,23.4,11.4,22.78,0
1991,6,12,17.7,23.6,11.8,22.74,0
1991,6,13,17.3,22.6,12,22.71,0
1991,6,14,18.8,25,12.6,22.69,0
1991,6,15,19.7,25.6,13.8,22.65,0
1991,6,16,20.4,26.4,14.4,22.63,0
1991,6,17,20.4,27.6,13.2,22.61,0
1991,6,18,21.6,28.4,14.8,22.58,0
1991,6,19,21.6,25.4,17.8,22.57,0
1991,6,20,23.1,30,16.2,22.56,0
1991,6,21,18.9,21.6,16.2,22.56,0.2
1991,6,22,18.4,21.2,15.6,22.56,6.2
1991,6,23,18,19.2,16.8,22.57,3
1991,6,24,17.6,19.6,15.6,22.58,2.2
1991,6,25,19.9,25,14.8,22.58,15.8
1991,6,26,21.3,27.2,15.4,22.58,0
1991,6,27,19.4,25.4,13.4,22.59,0
1991,6,28,20.2,26.6,13.8,22.61,0
1991,6,29,17.1,20.4,13.8,22.64,0
1991,6,30,16.6,20.6,12.6,22.67,4.6
1991,7,1,16.7,20.6,12.8,22.71,0
1991,7,2,18.4,25,11.8,22.75,0
1991,7,3,18.4,26,10.8,22.8,0
1991,7,4,17.4,24.2,10.6,22.84,0
1991,7,5,15.6,21.8,9.4,22.89,0
1991,7,6,15.4,21.4,9.4,22.93,0
1991,7,7,16.4,23.4,9.4,22.99,0
1991,7,8,17.4,25,9.8,23.05,0
1991,7,9,17.2,25,9.4,23.11,0
1991,7,10,17.8,25.6,10,23.17,0
1991,7,11,21.1,27.2,15,23.24,11.8
1991,7,12,17.7,22,13.4,23.31,1
1991,7,13,18,22.2,13.8,23.39,1.2
