Year,Month,quart.month,Rain,EP.Harg,EP.PM,P-EP.Harg,P-EP.PM,SPI,SPEI.Harg,SPEI.PM,Categ.SPI,Categ.SPEI.Harg,Categ.SPEI.PM
1991,1,1,39.69,36.5458910603741,32.9800057961581,3.14410893962593,6.70999420384187,-0.315141801955292,-0.430973139713636,-0.404597306352425,Normal,Normal,Normal
1991,1,2,73.32,36.761899592969,30.304136033852,36.558100407031,43.015863966148,0.639031391539006,0.502413107135557,0.54291726606005,Normal,Normal,Normal
1991,1,3,56.8,37.1997788953387,31.9043518738662,19.6002211046613,24.8956481261338,0.491658934067344,0.471574276264808,0.518487176323714,Normal,Normal,Normal
1991,1,4,123.93,47.0322681349896,43.1945143436575,76.8977318650104,80.7354856563425,1.23292490833778,1.15658535969318,1.08881616871371,mod.wet,mod.wet,mod.wet
1991,2,5,98.32,30.4099976176843,24.2779686221621,67.9100023823157,74.0420313778379,1.3959438093653,1.40104930224406,1.42238889322374,mod.wet,mod.wet,mod.wet
1991,2,6,75.38,30.485514045668,26.4403869220385,44.8944859543321,48.9396130779615,0.896441399106178,0.838521085995447,0.84222546288797,Normal,Normal,Normal
1991,2,7,36.36,32.8197809262496,29.4557031601187,3.54021907375039,6.9042968398813,-0.0155184607113557,-0.194421913734796,-0.110073881281095,Normal,Normal,Normal
1991,2,8,12.96,33.8912967507392,31.1007728810075,-20.9312967507392,-18.1407728810075,-1.36505836424949,-1.28210372510126,-1.08606698267945,mod.dry,mod.dry,mod.dry
1991,3,9,99.74,24.6360387735959,18.798998361652,75.1039612264041,80.941001638348,1.9870418038513,1.99255881391984,1.98744741155786,sev.wet,sev.wet,sev.wet
1991,3,10,47.02,29.5645376885634,28.2558154497032,17.4554623114366,18.7641845502968,0.552815727969198,0.419922964597543,0.449447404596592,Normal,Normal,Normal
1991,3,11,61.16,28.9936775371915,24.2678528930381,32.1663224628085,36.8921471069619,1.2667687132123,1.16721873575042,1.23488083119451,mod.wet,mod.wet,mod.wet
1991,3,12,172.19,29.8461291091965,19.3176747875921,142.343870890804,152.872325212408,2.39568675560032,2.18630722454043,2.20106963564901,ext.wet,ext.wet,ext.wet
1991,4,13,4.63,23.666072997005,24.6519450424473,-19.036072997005,-20.0219450424473,-0.859982136137353,-0.693903529818133,-0.615250002402619,Normal,Normal,Normal
1991,4,14,15.5,24.0967894831218,24.3530337782782,-8.59678948312181,-8.85303377827822,0.333784643344206,0.175374404374395,0.216866416196868,Normal,Normal,Normal
1991,4,15,24.39,22.177640713017,20.4578349450148,2.21235928698302,3.93216505498523,0.871134490110499,0.884607057331133,0.92556697812702,Normal,Normal,Normal
1991,4,16,95.27,26.0671272109445,27.0641767508322,69.2028727890555,68.2058232491678,2.14036406484954,2.11577667812233,2.07623589349202,ext.wet,ext.wet,ext.wet
1991,5,17,12.18,19.7899803500833,22.0662311217919,-7.6099803500833,-9.88623112179188,0.430400310986026,0.365077710157849,0.317323700757355,Normal,Normal,Normal
1991,5,18,12.9,17.8357613633157,19.2404441306406,-4.93576136331574,-6.34044413064056,0.745301345162993,0.833597307370624,0.753953705910608,Normal,Normal,Normal
